名前,セリフ,画像,音,演出
0,OP?→init?,,,
パン屋,おお！勇者くんだね。こんにちは。,,,
パン屋,きみには大変な仕事を任せてしまったが、あまり無理はするんじゃないよ。,,,
,,,,
,,,,
,,,,
5,,,,
パン屋,塔の進みは順調かい？,,,
パン屋,お姫様を助けるために、頑張るんだよ。,,,
パン屋,私たちはいつでも君の帰りを待ってるからね。,,,
,,,,
,,,,
10,,,,
パン屋,勇者様のお帰りだ！ははは、大げさだって？気にしないでおくれ。,,,
パン屋,君にはみんな期待しているんだ。重荷に感じる必要はないがね。,,,
パン屋,皆、君を大切に思っているということは覚えておきなさい。,,,
,,,,
,,,,
15,,,,
パン屋,ああ！勇者くん、調子はどうかな？,,,
パン屋,ゆっくりでもいい。無理せず進めばいいからね。,,,
パン屋,ささ、元気の出るパンが焼きあがったところだよ。,,,
,,,,
,,,,
20,,,,
パン屋,調子があまりよくなさそうだね。,,,
パン屋,大丈夫。頂上にはお姫様が確かにいるんだ。心配はいらないさ。,,,
パン屋,自分のペースでじっくり進むんだよ。慌てる必要はないから。,,,
,,,,
,,,,
25,,,,
パン屋,もうすぐ頂上だよ。頂上にたどり着けばすべてうまくいく。,,,
パン屋,安心しなさい。進み続けるんだ。,,,
,,,,
,,,,
,,,,
Template,,,,
パン屋,パンをもらっていくかい？,,,
