名前,セリフ,画像,音,演出
0,,,,
商人,あら、あんたが勇者だね？思ってたより若いじゃないか。,,,
商人,まあいらっしゃい。ここはただの店だよ。,,,
商人,ちょっとくらいは塔を上る手助けになれるかもしれんがあんまり期待せんどくれよ。,,,
,,,,
,,,,
5,,,,
商人,あんた怪我してないかい？,,,
商人,せっかく顔が整ってるんだからちゃんと綺麗にしとかなきゃだめだよ！,,,
商人,ほら、うちのポーションでも買っていきな！安くしとくよ！,,,
,,,,
,,,,
10,,,,
商人,値段が変わってないって？はっはっは、それはあんたの勘違いさ。,,,
商人,こっちはちゃ～んと割り引いてるつもりだよ？,,,
商人,まあまあ、細かいことは気にせずさっさと買ってきな！,,,
,,,,
,,,,
15,,,,
商人,塔はどのくらい登ったんだい？15階？そりゃ大したもんだ！,,,
商人,前も勇者がいたのかって？…うーん…はっきり覚えちゃいないが…,,,
商人,だいたい10階くらいで音を上げてたと思うよ。あんたは違うみたいだね！,,,
商人,最近忘れっぽくていけないね。応援してるから頑張るんだよ！,,,
,,,,
20,,,,
商人,あの塔、てっぺんにたどり着いた人はいるのかねぇ…？,,,
商人,あんたも塔を進んでるのかい？そりゃいいね！,,,
商人,あんた顔がいいからきっとたどり着けるだろうよ！,,,
,,,,
,,,,
25,,,,
商人,おや、いらっしゃい。何をお求めだい？,,,
商人,はいポーションね、ってことはあの塔にでも上るつもりかい？,,,
商人,あの塔、てっぺんから見る景色はどんなもんなんだろうね…,,,
商人,応援してるよ！頑張りな！,,,
