名前,セリフ,画像,音,演出
0,,,,
武道家,なんだ貴様は！,,,
武道家,勇者…？ああ、そういえば最近聞いた気がするな。,,,
武道家,貴様、塔に登るには鍛え方が足らんのではないか？,,,
武道家,ワシに教えを乞えば、みっっちり鍛えてやるから覚悟しておけ！,,,
,,,,
5,,,,
武道家,おぬしは…そうだ、最近見たぞ！勇者だな！,,,
武道家,鍛錬の邪魔だ！共に鍛えたいのならば吝かではないが。,,,
,,,,
,,,,
,,,,
10,,,,
武道家,…なんぞワシにガンを飛ばしておる？　おお、勇者か、そんな奴もいたな。,,,
武道家,むむむ…貴様、その程度であの塔に昇れると思っているのか？,,,
武道家,まだまだだな。もっと精進せい！！,,,
,,,,
,,,,
15,,,,
武道家,誰だ貴様！！,,,
武道家,ああ、最近よく聞く勇者か。ふむ…いい面構えだな！,,,
武道家,しかしまだまだヒョロい！足りぬ！！鍛えるぞ！！,,,
,,,,
,,,,
20,,,,
武道家,おお、なかなか良い肉体をしているな。誰だ？,,,
武道家,件の勇者か！なるほど。会えてうれしいぞ。,,,
武道家,貴様ならきっとあの塔も制覇できるだろう。,,,
,,,,
,,,,
25,,,,
武道家,貴様は…？ふむ、勇者か。話は聞いたぞ。,,,
武道家,良い鍛え方をしているな。ワシが言うことは何も無さそうだ！,,,
武道家,暇があればぜひ鍛錬に付き合ってくれ。貴様の力量を見てみたい。,,,
