名前,セリフ,画像,音,演出
0,,,,
鍛冶屋,よお、あんたが勇者か！,,,
鍛冶屋,あの塔を登るんだってな。ワシの鍛冶屋でしっかり準備していけ！,,,
,,,,
,,,,
,,,,
5,,,,
鍛冶屋,あの塔の中？見慣れんモンばかりだろうが、まあすぐに慣れるさ。,,,
鍛冶屋,運が良ければいい景色でも見れるかもしれんぞ。安全とは言えんがな！ガハハ！,,,
鍛冶屋,ついでに役立つモンもあるだろう。拾っておくといい。,,,
,,,,
,,,,
10,,,,
鍛冶屋,おいお前、その剣を見せてみろ。,,,
鍛冶屋,なんじゃこれは…刃こぼれだらけじゃないか。,,,
鍛冶屋,しっかり研ぎ直して使わんか！なに？やり方がわからない？,,,
鍛冶屋,それならここに持って来んか！,,,
,,,,
15,,,,
鍛冶屋,ウィ～、ヒック。あの塔はな。人の願いを叶える場所じゃ。,,,
鍛冶屋,大量の金に色とりどりの素材、そして見たこともないような箱。,,,
鍛冶屋,ワシの願いもお前さんに叶えて貰えるかもしれんのう…,,,
鍛冶屋,少し飲み過ぎたか…　ああ、水は汲んでこなくて大丈夫だ。酒があるからな！,,,
,,,,
20,,,,
鍛冶屋,あー、お前さん。なんというかだな。すごく調子が悪そうに見えるぞ。,,,
鍛冶屋,しばらくあそこに登るのはやめにしたらどうだ？,,,
鍛冶屋,そんなことはできない、か。,,,
鍛冶屋,まあ、ワシは言っておいたからな。,,,
,,,,
25,,,,
鍛冶屋,お前さん。このままだと今度こそ死んでしまうぞ。,,,
鍛冶屋,その面じゃ、ワシが何言ってるかもわかってなさそうじゃな。,,,
鍛冶屋,寝覚めが悪いわい。すまんのう。,,,
